track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
6TfBA04WJ3X1d1wXhaCFVT,The Offspring,"Rise And Fall, Rage And Grace","You're Gonna Go Far, Kid",81,177826,TRUE,0.55,0.917,0,-3.159,1,0.0638,0.00428,0,0.197,0.601,126.115,4,ska
5mhWD3cDX9JTP0ukiEzNWf,Sublime,Hits Pop Rock 90's,Santeria,1,183200,FALSE,0.665,0.751,4,-5.003,1,0.041,0.0209,5.16e-6,0.121,0.58,90.376,4,ska
0Ev1XvxAun4W2uh34XtZpx,AFI,Happy Haunted Halloween Tunes,Halloween,2,238106,FALSE,0.286,0.929,11,-8.494,0,0.091,0.00231,7.4e-4,0.0946,0.127,99.762,4,ska
0wMGxaOeu5zZfbx3gWctMx,Los Abuelos De La Nada,Rock x siempre,Mil Horas,0,165186,FALSE,0.706,0.474,7,-8.55,0,0.0598,0.242,0,0.0789,0.545,99.776,4,ska
6G2IXaarVeVde7CaMOxvNh,AFI,Rock & Halloween,Halloween,2,238106,FALSE,0.286,0.929,11,-8.494,0,0.091,0.00231,7.4e-4,0.0946,0.127,99.762,4,ska
6XEbIRw3DVFb6vQftaewOD,Panteon Rococo,XX Años (En Vivo),Toloache Pa' Mi Negra - En Vivo,49,218280,FALSE,0.411,0.897,11,-9.229,1,0.0629,0.00312,0.00921,0.939,0.668,102.972,4,ska
1tdazGttmzXdBP3fj1kQr6,AFI,Spooky Scary Season,Halloween,0,238106,FALSE,0.286,0.929,11,-8.494,0,0.091,0.00231,7.4e-4,0.0946,0.127,99.762,4,ska
1HkRBvClGlCu8s2CCX9QGM,AFI,Halloween Scary Party,Halloween,0,238106,FALSE,0.286,0.929,11,-8.494,0,0.091,0.00231,7.4e-4,0.0946,0.127,99.762,4,ska
57jD6Or02RD8uTV2AmdET4,AFI,Halloween Songs | Witches Hour,Halloween,0,238106,FALSE,0.286,0.929,11,-8.494,0,0.091,0.00231,7.4e-4,0.0946,0.127,99.762,4,ska
3To5owsnumbjenW1G5j0VK,Los Prisioneros,Modo trabajación,Tren Al Sur,0,336933,FALSE,0.676,0.67,9,-7.218,0,0.051,0.00565,0.00676,0.0805,0.725,90.232,4,ska
7jktxmkjQIRbiBzMmYv32E,Biquini Cavadão,1985/2007 Sucessos Regravados (Vol. 1),Tédio,52,200226,FALSE,0.629,0.909,4,-6.125,0,0.0586,0.0129,1.65e-4,0.346,0.772,143.952,4,ska
3IExS9dCfDAVCRY0Tq4qw7,AFI,Halloween Kids Party 2022,Halloween,0,238106,FALSE,0.286,0.929,11,-8.494,0,0.091,0.00231,7.4e-4,0.0946,0.127,99.762,4,ska
0BRtjY6BHMic4e901yeGil,Divididos,Amapola del 66,La Flor Azul,49,160533,FALSE,0.463,0.677,11,-10.254,0,0.0872,0.593,9.24e-6,0.302,0.754,89.581,1,ska
5TuTzdZVv2k4Gtl7Rn6pow,Los Enanitos Verdes,Triste Hora,Lamento Boliviano,0,222226,FALSE,0.714,0.734,4,-7.125,0,0.0306,0.176,6.18e-4,0.115,0.68,123.57,4,ska
4isHeZRxdYw7IgGvl8OPwq,Chancho En Piedra,Marca Chancho,Eligiendo Una Reina,49,245640,FALSE,0.767,0.896,9,-3.005,1,0.0433,0.0127,0,0.11,0.966,125.255,4,ska
2vU6bm5hVF2idVknGzqyPL,The Offspring,Alternative Christmas 2022,Christmas (Baby Please Come Home),0,187355,FALSE,0.437,0.878,0,-4.687,1,0.0452,0.0112,0,0.126,0.623,128.043,4,ska
2Pw1iVisZuRKrTrghlyBKv,Panteon Rococo;Fráncisco Familiar;Toño Lira,XX Años (En Vivo),La Rubia y el Demonio (feat. Francisco Familiar & Toño Lira) - En Vivo,49,279360,FALSE,0.346,0.846,7,-8.003,1,0.0608,0.0127,1.44e-5,0.942,0.615,134.993,4,ska
5xx3UJqIo8SsSc00znFPtK,Panteon Rococo;Dub Inc,El Último Ska,El Último Ska,49,274653,FALSE,0.8,0.834,9,-4.272,0,0.0425,0.153,0,0.172,0.955,130.009,4,ska
3a5tlGqJ6g5JFdiwJrsmGh,Dexys Midnight Runners,80s Bangers Vol. 1,Come On Eileen,2,285357,FALSE,0.45,0.769,2,-4.797,1,0.0592,0.562,0,0.306,0.604,107.05,4,ska
1lCOmD1I33KfpnbBfB1Zpb,Joe Strummer;Scott Shields;Martin Slattery;Richard Flack;Paul Cook;Tymon Murray;Joe Strummer & The Mescaleros,Hans Zimmer: Epic Scores,Minstrel Boy - Film Verson,15,337173,FALSE,0.351,0.674,7,-9.068,1,0.0376,0.00644,0.419,0.0536,0.414,174.162,3,ska
